SCFA	Formic_acid_BHA	Lac	Acetic_acid_BHA	3-Hydroxybutyric_acid_BHA	Propionic_acid_BHA	Isobutyric_acid_BHA	Butyric_acid_BHA	Malate_2BHA	2-Methylbutyric_acid_BHA	Succinate_2BHA	Isovaleric_acid_BHA	Valeric_acid_BHA	Fumarate_2BHA	4-Methylvaleric_acid_BHA	Isocitrate_3BHA	Hexanoic_acid_BHA	Citrate	Aceton_BHA	Heptanoic_acid_BHA	Acetoacetate_2BHA	Aconitate_3BHA	Pyruvate_2BHA	2-Oxoglutarate_3BHA	2-Ketoisovaleric_acid_2BHA	3-Methyl-2-oxopentanoic_acid_BHA	Malondialdehyd_2BHA	4-Methyl-2-oxopentanoic_acid_BHA
sample-055	2.285468558	2.981685944	2.339822685	12.28597666	1.387779414	1.139299752	2.499879534	2.950524111	0.803350383	6.710831745	0.556981166	1.331748495	1.126734279	2.562109419	4.285914509	0.304054893	2.261245233	2.93205861	0.019149326	0.925993914	0.721733372	2.126386293	0.659263333	0.750878599	0.664640914	1.868514081	0.682831569
sample-056	1.125677191	2.241426432	1.315660203	0.55068481	1.224052155	0.921098695	1.197079799	0.695936743	0.942306502	0.460459584	0.997218807	0.836801581	0.662419723	0.697128056	0.694566058	0.052979012	0.216009274	1.481423823	0.019870187	1.083313388	0.303611306	0.875051397	0.906309929	0.822058781	1.274943741	1.227742255	1.611553366
sample-057	0.753078233	0.317793111	0.52155079	0.213345513	0.53272405	0.773476451	0.493330862	0.361727141	0.700495913	0.17222363	0.78913594	0.570273554	0.447173789	0.702661303	0.484739067	0.369174374	0.416320132	1.163753502	0.274505744	0.470394116	0.341655523	0.652555614	0.813808639	0.5570741	0.680759764	0.779184813	0.512436254
sample-058	1.043622051	0.666668523	0.977862638	2.167622835	0.933637048	1.390179277	1.184200567	1.839480171	1.449898204	0.503637275	1.528181922	1.2454028	1.306717472	0.774598319	0.087411216	1.200052061	0.545291264	1.474006209	0.786128244	0.92391115	0.619630303	0.564909469	0.261440473	0.025665453	0.250016682	1.354819334	0.267126436
sample-059	0.723106905	0.920583505	0.64617875	0.666377557	0.539839857	0.85999131	0.560297206	0.153231375	0.886300214	0.188431986	0.929740612	0.564896545	0.271026692	0.663289761	0.300666918	0.05949692	0.817351529	0.727808817	0.015647112	1.157986631	0.654385121	0.738338978	0.811973121	0.982719876	1.265747997	1.021617995	1.538259477
sample-060	0.705276349	0.684537005	0.666367041	0.410506369	0.597276166	0.687351839	0.792789385	0.247376397	0.696636362	0.230904586	0.560120466	0.593556526	0.197547966	0.999469744	8.817987808	0.040766676	26.58907034	1.09635369	0.008053389	0.436629918	0.389994882	1.199378094	0.8487988	2.908462172	0.987821385	0.484410737	1.290972818
sample-061	0.914671773	0.638415553	1.198697761	1.136198543	1.334252683	0.675074679	0.979403684	0.915515138	0.425039494	0.582659111	0.542773129	0.833675016	0.519429321	0.362684141	6.364607432	0.01881288	1.63461647	1.247965366	0.008511117	0.5800504	0.617199408	0.681612866	0.157958384	0.099782117	0.149751079	0.233720102	0.090318189
sample-062	0.461793275	0.545995517	0.520356949	3.425532609	0.531397688	0.369495728	0.533320063	1.922613072	0.270894257	0.395334969	0.348931591	0.306868006	0.981130891	0.335414816	1.286524468	0.014447661	0.856074806	0.634813803	0.005539605	0.133741616	0.087462164	0.471423071	0.152612154	0.61748757	0.320793238	0.389024824	0.458478324
sample-063	0.575199072	0.248662797	0.357250181	0.128360899	0.24193939	0.50255189	0.322309898	0.093076543	0.559440421	0.083306121	0.63740043	0.338832752	0.110805599	0.43778881	0.167737807	0.401505188	0.55295593	0.859511851	0.412667775	0.250275857	1.126409002	0.508931158	0.201255242	0.059471464	0.1168801	0.607267662	0.12387001
sample-064	0.367805007	0.113122985	0.266158095	0.365477398	0.181954101	0.305485589	0.205308964	0.062979235	0.295076293	0.040096494	0.374102036	0.210171353	0.043816985	0.273995775	0.09348753	0.12111673	0.033833208	0.599808806	0.115263371	0.203070549	0.241241684	0.128712805	0.043550295	0.081775468	0.131751034	0.279966209	0.139290311
sample-065	0.955650321	1.113498262	0.95882039	0.93446793	1.284886556	0.460609895	0.852544621	0.073165864	0.310645313	0.027853428	0.496860022	1.035678906	0.058319877	1.026708537	0.875071293	0.428945864	0.482697538	1.597770241	0.244184346	0.748314326	0.344114956	0.64561157	0.731148853	0.387006795	0.318654	0.72501439	0.279886323
sample-066	1.147567516	0.276328965	0.797143707	0.270624004	0.510237251	0.957696748	0.631354488	0.102254245	1.007991949	0.349257003	0.997555456	0.71321332	0.141938223	0.516484922	0.399384061	1.328700861	0.642907453	1.351420061	1.683198935	0.470331122	0.76424939	0.902780295	2.2668564	0.299394378	0.346402346	0.689771979	0.349608433
sample-067	1.056450915	0.492799142	1.313990174	0.784083376	1.158033731	1.039372308	1.178511727	2.084716976	0.954833169	0.330461682	1.015433208	1.289469589	0.885423122	0.64675578	1.526638611	1.135289894	2.78332774	1.364900528	0.776785383	1.89052436	0.375596853	1.332093948	2.267541482	1.183802551	2.019797511	0.909794413	2.603121288
sample-068	0.598058798	0.277185105	0.453205845	0.973996447	0.422878513	0.671617326	0.521201228	0.193099436	0.761974459	0.097292055	0.948780052	0.618995198	0.150627032	0.548063885	0.579304004	0.074005168	1.313272595	0.994110595	0.008215297	1.639613198	0.278952613	0.451476647	0.408280547	0.15464644	0.192870563	0.964180947	0.179756054
sample-069	0.487842962	0.247277653	0.458388126	0.444971265	0.401300688	0.718693478	0.369683627	0.78778666	0.812668845	0.144071117	0.851440754	0.609283416	0.438035766	0.625919207	0.674410504	0.452234589	0.270944037	0.690961784	0.748752627	0.449798778	0.379814666	0.481221505	0.665150352	0.51586559	0.97427617	0.682349321	0.906945367
sample-070	0.926975196	1.095191387	1.138740844	0.606929463	0.878644415	0.640852883	1.27222379	1.047051741	0.396475969	1.271209423	0.462997258	0.918342242	1.229723001	1.156542561	2.057491245	0.039107008	3.148495875	0.994715763	0.011166564	0.541016111	0.33905473	0.878918264	1.25856585	0.531749191	0.488221158	1.632672663	0.645530259
sample-071	1.498372739	1.65697802	1.696898464	2.89987104	2.198490676	0.809996204	1.627369218	1.604609314	0.64673031	0.454269013	0.81930078	1.554555282	1.99897445	1.824224161	3.723126488	0.096534956	0.831562428	2.822837763	0.028610219	1.296096813	0.729940294	2.32782904	1.717683063	0.604700888	0.80263007	1.145682642	0.881974933
sample-072	0.791903783	0.278922918	0.907248683	0.682579201	1.100328354	1.382256599	1.077570112	1.63655941	1.468115828	0.401059171	1.551966166	1.328316193	0.850203417	0.255248025	0.327881626	0.142482816	0.348577984	0.982446895	0.016209532	0.587543726	0.59003646	1.062350636	0.277111894	0.113062939	0.22199682	1.217748115	0.193846134
sample-073	1.01174991	0.671327873	0.773532616	0.315041408	0.52484444	0.911979595	0.88167789	0.188872469	0.842005246	0.409173185	0.906242335	0.672882584	0.187493451	0.826623884	0.337777088	1.579351796	0.458494036	0.79675503	0.901526934	0.55561642	0.292599021	0.577173986	0.397492714	0.215890251	0.211028805	0.831666921	0.171934114
sample-074	1.151194384	3.117255277	1.401949754	0.926225137	1.68968901	1.220388433	1.591390562	1.314162384	1.399546765	0.936790617	0.822653052	1.168504649	1.246927196	1.687381984	1.356843537	1.369614629	0.410839192	1.177120264	0.018600317	0.971378917	0.218557434	1.110953922	0.631524806	0.269601889	0.301968976	0.755037379	0.315566181
sample-075	0.638138512	2.041771867	0.33010159	0.345732554	0.324471057	0.340091504	0.324074007	0.950544648	0.668363168	0.371659757	0.67436512	0.542705207	0.640478915	0.496357618	0.459342799	0.793451613	0.245418441	0.764822619	2.892806982	0.179916898	0.546071215	0.615912944	0.708560671	1.289095945	1.99768432	0.425668443	1.712800086
sample-076	1.32995186	0.789160028	1.580155873	0.572732733	1.271783587	2.086561344	1.349896667	1.609721903	2.268363006	0.329408331	2.434454574	1.515694985	1.381761503	0.714267969	0.5115952	2.031082393	0.886294289	1.168138761	1.925538905	0.452871099	0.903321154	1.056397732	0.86657188	0.291450269	0.356441272	0.877323211	0.328315221
sample-077	0.696914085	0.274007892	0.425931223	0.24072037	0.368927263	0.747829984	0.287025251	0.154580071	0.761351021	0.244494996	0.83413195	0.274419388	0.245840225	0.449584772	0.381283754	0.353354573	0.196383346	0.783016828	0.528690406	0.52996678	0.726594775	0.760122294	1.284878921	0.539659126	1.049256013	0.551466657	1.345701012
sample-078	0.604991735	0.413483713	0.83285278	1.202159087	0.752806447	0.642677732	0.991361225	0.53651318	0.593629749	0.122195498	0.683937887	0.945134508	0.720123789	0.847296057	0.688851057	2.143508389	0.385453172	0.830034224	1.442419607	1.280903418	0.176596512	0.494584318	0.36563054	0.15589426	0.146124196	0.478762994	0.071938713
sample-079	0.758383659	0.63236672	0.866807795	0.301722861	0.924384341	0.880855527	0.779121596	2.286549573	0.892729826	0.704519794	0.760496003	1.006302079	2.844198783	0.98934268	1.716202408	1.137403679	2.240666828	0.946076163	1.374551985	0.275299237	0.902146603	0.891046022	0.63191637	0.272920479	0.35348673	0.943591926	0.351032269
sample-080	0.676810418	0.613006626	1.108532991	0.50304819	0.853349806	0.703786643	1.300382812	1.333054746	0.437971427	0.226106364	0.477544556	1.040469882	2.575211416	1.577853756	0.720793171	2.058531401	1.52026242	0.845192486	0.531166351	0.308321408	0.518423276	0.945719777	0.969480538	0.166358945	0.220836917	0.935626261	0.210474627
sample-081	0.805023464	0.286167793	0.868281664	1.377622699	1.084930068	1.319084042	0.854001476	0.545371623	1.325751293	0.581948882	1.544826484	1.235521271	0.431193991	0.38762227	0.707442471	0.199510684	0.931687486	1.116535226	0.025788632	1.742084928	0.363444494	0.534779861	0.611344792	0.490029916	0.75425958	1.06793744	0.830650473
sample-082	1.186615272	0.778496976	0.871916402	0.664980905	0.797081661	1.284104788	0.830941582	0.916317238	1.458387602	0.190319262	1.70297834	1.078134607	0.939580849	0.831753176	0.026333407	0.574528738	0.497452524	1.301528432	0.622619379	1.080987619	0.566485661	1.089221021	1.60799758	0.431738015	0.684607249	1.635411104	0.680486443
sample-083	0.697301444	0.490057579	0.888424399	0.387867508	0.74249497	0.709012019	0.979054869	0.666125828	0.620553149	0.372874035	0.681660386	1.037149896	0.470933932	1.485282252	0.691925519	2.134026484	0.629081681	3.090943675	1.641921581	0.209537869	0.483390141	1.099231364	0.547155295	0.241378642	0.34171103	0.858310159	0.30743224
sample-084	0.57731854	0.233873038	0.363903317	0.314130126	0.315788791	0.443405084	0.437560222	0.145827882	0.475527032	0.017485633	0.53575224	0.375330253	0.230281942	0.295957316	0.398452304	0.661584999	1.825778642	3.164688277	0.35949402	0.246005468	17.75057093	0.391147456	0.112696925	0.051120312	0.063897394	0.583414357	0.061190343
sample-085	0.632541315	1.185532111	0.727417163	0.219838547	0.506753143	0.470193614	0.683318094	1.249449712	0.438605059	0.375981248	0.442408065	0.679193649	0.801620113	0.994255903	0.658449538	1.867224399	1.140263049	0.770572348	1.317015583	0.087174797	0.239275287	0.441956645	0.350969414	0.088997949	0.094898362	0.594079454	0.097947563
sample-086	1.16968255	1.141718168	0.817539465	0.467645316	0.547685019	0.887447624	0.737724272	1.229996424	0.924128739	0.18487491	0.91606673	0.582162588	1.280279393	0.846488147	1.858973161	0.70292847	0.812423723	1.784450085	0.473242033	0.756739836	0.770260061	0.754126297	0.503087643	0.085771353	0.138792627	1.141165385	0.134689492
sample-087	0.373104427	0.167863286	0.531860323	0.424605148	0.418828909	0.440805602	0.517433042	0.253092662	0.376990495	0.057365951	0.399053033	0.472735103	0.283608283	0.32591952	0.39729854	0.892855789	0.631732331	1.590909984	0.584783148	0.949928127	0.28285093	0.243013921	0.173748981	0.063903392	0.09177379	0.281108397	0.10209531
sample-088	5.220027796	7.42689019	2.548711941	1.929442061	2.436101212	0.891179126	2.489457303	3.233458328	0.528444344	6.651431675	0.531609017	1.124372946	1.612367409	2.921967752	3.532738574	0.049546321	7.834984192	2.415859027	0.014516304	2.397339165	0.93430197	2.327177205	5.937333935	1.809337677	1.473266136	2.143590886	1.539242502
sample-089	0.835209992	0.90555358	0.867899377	0.727605745	0.629630942	0.736795937	1.02181896	1.741606181	0.625960174	0.388671531	0.670029403	0.70785228	1.704762078	0.768318116	1.13992241	0.066723712	0.825636912	2.707691573	0.007007284	1.468957325	0.588216019	0.8836472	0.645059134	0.185289589	0.158449374	0.7432496	0.187480485
sample-090	0.408384685	0.117448368	0.39688234	0.249875658	0.477482111	0.78789366	0.531422293	0.528372328	0.885620886	0.132703614	0.909085589	0.672029621	0.333392301	0.805355173	0.489603041	1.044481703	0.059597892	1.645817307	1.212306993	0.582919329	0.339741992	0.287563115	0.15613602	0.074838388	0.086146578	0.895719918	0.083689005
sample-091	0.920444232	0.747349195	0.87794883	0.293133303	0.834865529	0.790445589	0.79802366	1.0530301	0.735716133	0.452046218	0.710371894	1.076177028	0.437231899	0.60354146	0.589801819	1.519596964	0.438756412	0.67525781	1.961754593	1.618404003	0.472728959	0.352174955	0.575164148	0.585977699	0.425623387	0.640282145	0.231232257
sample-092	1.063843347	3.087473917	1.501479579	0.714883398	1.226649885	1.5448444	1.466422736	2.805878581	1.640567497	0.655027816	1.491668753	1.922387171	1.050962644	1.70455954	2.703103174	2.794602356	0.448115285	1.868491784	5.927786238	0.562551154	1.01878151	0.632446579	0.346679723	0.300938385	0.254391917	2.248136624	0.266368532
sample-093	1.039187383	1.047357722	1.091388404	0.092290529	0.887258188	0.646806452	1.241305891	1.34321075	0.567735072	0.671399882	0.553645403	0.947071889	1.073795216	1.12529503	0.870747506	2.962147855	0.204584816	0.993465954	1.746765493	0.119165242	0.50819435	1.699828065	0.893896715	0.392809955	0.342595143	1.803151878	0.28219545
sample-094	2.541790742	3.146666525	1.711609523	0.563222382	1.664913693	1.421644282	1.809595428	1.782293416	1.684896525	1.07796767	1.649125405	1.521549524	0.764417049	80.6341554	1.234557587	0.477482964	0.570669076	1.18890099	0.135454879	0.798255106	0.536853809	0.893890833	1.259521628	0.077796083	1.019258488	1.704611494	0.844201607
sample-095	1.49501226	6.406982449	1.638288743	1.226721499	1.673395529	2.191333764	1.515561577	2.066891196	2.484572854	1.295808428	2.474211424	1.785813048	1.581527485	10.10566804	0.209796223	0.231539883	0.118109731	2.940425495	0.180531037	1.886611671	1.431633894	1.586613584	1.065550478	4.130005395	2.653770298	3.273558525	2.596932322
sample-096	10.34418527	4.219579729	2.143883165	2.238250588	2.229086265	2.929426108	2.573370081	1.42895443	2.987841396	1.720319947	2.724285582	2.837600982	1.22976356	0.518399217	0.999425103	4.42208908	0.993547873	2.787194898	4.016639386	1.031764767	1.491892283	1.464530927	0.599322515	0.913036338	0.538661455	2.823271253	0.669370546
sample-097	0.60768974	0.980346547	0.451053151	2.688442738	0.327639269	0.827445478	0.374832781	0.141027386	0.957570787	0.038988355	1.028994863	0.587349275	0.115215037	1.186397669	0.05837946	1.053079541	0.128047742	0.882455177	1.871227102	1.272007962	0.611224364	1.889736124	1.304079512	4.818936925	5.465995981	0.632166411	4.772566641
sample-098	0.859810168	1.225218705	0.994857314	0.468716219	0.989504463	1.540095825	1.011113777	1.261659714	1.706934018	0.293573298	1.949515366	1.309572042	1.172663629	0.728727667	1.079459772	1.299415132	0.351747351	1.02586791	1.544968521	0.887562113	0.436725312	0.486495291	0.656166376	0.697349559	0.409283505	0.447862926	0.358042891
sample-099	0.629571808	0.685551725	1.010411565	1.657612795	1.011034136	1.349231589	1.069938983	2.64254255	1.438348184	0.432202146	1.637469598	1.275991522	1.267792283	0.432281412	1.238013283	1.658249513	1.232497307	1.212199321	1.856177709	0.980975889	0.340257745	0.655466757	0.536020118	1.311991348	0.524698784	2.409347958	0.714567946
sample-100	0.454494729	0.365155671	0.683819744	1.166238261	0.704343051	0.977274775	0.731798851	0.677795973	1.110781802	0.172950644	1.091016237	0.730819019	0.479585074	4.046787403	0.769235019	0.031413613	1.046946163	0.849921099	0.017795965	0.845516328	0.196703249	0.372906348	0.334625278	1.290642226	0.705652528	1.129090257	0.778465995
